race_date,event,course,percent_off_best,race_time_sec,pre_race_14d_load,pre_race_14d_distance_km,pre_race_14d_sessions
2025-06-28,200 FR LCM,LCM,3.2080340330567148,147.99,2812.859313276033,49.874360321044925,15
2025-06-28,1500 FR LCM,LCM,3.7563333527458975,1247.12,2812.859313276033,49.874360321044925,15
2025-06-29,400 FR LCM,LCM,2.880215343203231,305.76,2592.451415102185,46.274360321044924,13
2025-06-29,200 IM LCM,LCM,2.735294117647062,174.65,2592.451415102185,46.274360321044924,13
2025-06-29,50 FR LCM,LCM,2.2493573264781466,31.82,2592.451415102185,46.274360321044924,13
2025-07-17,200 FR LCM,LCM,2.7268289280982114,147.3,1781.5978285687602,28.131720062255862,10
2025-07-17,1500 FR LCM,LCM,5.530920072880356,1268.45,1781.5978285687602,28.131720062255862,10
2025-07-18,400 IM LCM,LCM,8.231987150068836,377.34,1611.2257321196234,25.8,9
2025-07-18,400 IM LCM,LCM,8.280748049564021,377.51,1611.2257321196234,25.8,9
2025-07-18,200 BK LCM,LCM,0.5988378987311698,169.67,1611.2257321196234,25.8,9
2025-07-18,200 BK LCM,LCM,7.500296454405316,181.31,1611.2257321196234,25.8,9
2025-07-19,400 FR LCM,LCM,5.30619111709288,312.97,1611.2257321196234,25.8,9
2025-07-19,800 FR LCM,LCM,8.156585493584714,660.88,1611.2257321196234,25.8,9
2025-07-20,50 FR LCM,LCM,4.305912596401027,32.46,1611.2257321196234,25.8,9
2025-07-20,200 FR LCM,LCM,6.639235651021696,152.91,1611.2257321196234,25.8,9
2025-10-04,100 FL SCY,SCY,4.87171655467318,68.67,3120.364051969846,28.16352075195312,10
2025-10-04,200 IM SCY,SCY,0.150513709835737,153.04,3120.364051969846,28.16352075195312,10
2025-10-05,200 FR SCY,SCY,8.904219476977374,135.76,2738.9032289505008,25.69464068603515,9
2025-10-05,200 BK SCY,SCY,3.441069935915295,148.5,2738.9032289505008,25.69464068603515,9
2025-10-25,50 FL SCY,SCY,4.4055717525105145,32.23,4510.649096463125,41.0565610961914,11
2025-10-25,100 FR SCY,SCY,10.641949879848946,64.46,4510.649096463125,41.0565610961914,11
2025-10-25,50 FR SCY,SCY,7.486437613019893,29.72,4510.649096463125,41.0565610961914,11
2025-11-22,50 FL SCY,SCY,0.0,30.87,3979.807860720158,28.43784075927734,10
2025-11-22,500 FR SCY,SCY,6.67689475299173,347.66,3979.807860720158,28.43784075927734,10
2025-11-22,100 FR SCY,SCY,11.259869550291787,64.82,3979.807860720158,28.43784075927734,10
2026-01-15,1000 FR SCY,SCY,3.033310129300772,695.65,3986.4938525021075,27.98064074707031,11
2026-01-16,500 FR SCY,SCY,6.624731512733978,347.49,3986.4938525021075,27.98064074707031,11
2026-01-16,200 BK SCY,SCY,0.0,143.56,3986.4938525021075,27.98064074707031,11
2026-01-17,200 FR SCY,SCY,7.957644793839255,134.58,3584.1463142752646,24.003000640869143,10
2026-01-17,100 FL SCY,SCY,0.0,65.48,3584.1463142752646,24.003000640869143,10
2026-01-18,100 FR SCY,SCY,5.973223480947484,61.74,3221.2130447049935,21.465540573120116,9
2026-01-18,1650 FR SCY,SCY,10.475972378804968,1254.3,3221.2130447049935,21.465540573120116,9
2026-04-11,200 FR LCM,LCM,9.5822581769998,157.13,2189.0334226099494,28.65366047668457,11
2026-04-11,50 FL LCM,LCM,5.746445497630346,35.7,2189.0334226099494,28.65366047668457,11
2026-04-11,50 FR LCM,LCM,4.11311053984575,32.4,2189.0334226099494,28.65366047668457,11
2026-05-06,500 FR SCY,SCY,2.4608775698067014,333.92,1672.0707477276694,23.836840545654297,9
2026-05-09,200 FR SCY,SCY,2.775549494625388,128.12,1866.2929162865726,26.717200622558597,11
2026-05-09,50 FR SCY,SCY,0.0723327305605899,27.67,1866.2929162865726,26.717200622558597,11
2026-05-09,200 BK SCY,SCY,2.424073558094169,147.04,1866.2929162865726,26.717200622558597,11
