week_start,sessions,total_distance_km,total_duration_min,mean_avg_hr,max_hr,mean_hrr_intensity,total_near_max_min,total_simple_hr_load,total_zone_weighted_load,total_combined_load,mean_load_per_km,mean_hr_efficiency_proxy,mean_pace_50_s,load_4w_avg,hr_4w_avg,near_max_4w_avg,load_delta,load_pct_change,acute_load_2w,chronic_load_6w,acute_chronic_ratio,near_max_share,load_per_hour,high_intensity_week,high_load_week,low_load_week,load_phase,phase_with_intensity,previous_phase,phase_transition
2025-02-17,5,18.49374049377441,667.9854733665784,140.19865104237584,194.0,0.5191393690948641,73.26663500070572,347.79936224353,794.3735807836056,1160.7067557871342,62.0357897908256,0.3363095386164439,46.86140764841648,816.1329501479863,136.3861107773602,56.169749602178726,-48.119908672571,-3.980712048081647,1184.7667101234197,924.6589612262118,1.281301279503389,0.10968297653457848,104.25736505352049,False,False,False,mixed,mixed,mixed,mixed -> mixed
2025-02-24,5,16.162020431518556,604.1640813032786,142.19140864745623,195.0,0.5332724017550087,72.64999999403953,322.6497795863189,604.1640813032786,967.4140812734764,61.640981682469736,0.3568806752901233,50.71834074473086,834.2368753800789,138.1528793257248,56.890617077549294,-193.29267451365774,-16.65301537618571,1064.0604185303052,922.3146356648869,1.1536848461297975,0.120248790423492,96.07463712704761,False,False,False,mixed,mixed,mixed,mixed -> mixed
2025-03-03,3,9.692640258789062,395.8288171509902,135.97626901185424,189.0,0.4891933972471933,34.33333332538605,193.7734994833949,395.8288171509902,567.4954837779203,60.2845977081451,0.4346426411972934,59.35536844644826,976.1107463245588,137.60872674725715,65.4739504088958,-399.9185974955561,-41.338926653735975,767.4547825256982,799.9068942738904,0.9594301387067674,0.0867378317033686,86.02134951101057,False,False,True,recovery,recovery,mixed,mixed -> recovery
2025-03-10,2,7.886700210571288,288.8383802155654,148.8090058256136,198.0,0.5802057150752737,38.48333333333333,167.54130684913815,288.8383802155654,481.255046882232,61.44076392214849,0.3071204164586685,45.71069293311327,794.2178419301907,141.79383363182498,54.68332541336616,-86.24043689568828,-15.19667369360722,524.375265330076,730.949672030078,0.7173890151338606,0.13323483293533397,99.9704498806002,False,False,True,recovery,recovery,recovery,recovery -> recovery
2025-03-17,3,6.286500167846678,251.21752591927844,141.88981303242227,183.0,0.53113342576186,39.68333332935969,127.00824279865284,303.89488676985104,502.3115534166495,93.51555298823932,0.3783401831246118,53.49469430656978,629.6190413375696,142.2166241293366,46.28749999552966,21.05650653441745,4.375332096947382,491.7833001494406,814.6682642661863,0.6036608049196751,0.15796403210383814,119.97050402718787,False,False,True,recovery,recovery,recovery,recovery -> recovery
2025-03-24,3,10.012680267333984,322.2019477347533,138.1494231981803,198.0,0.5046058382849666,36.550733153025305,165.38060728662205,441.5412217517694,624.2948875168959,60.283416349740094,0.3374492603685537,46.056264710909154,543.8392428984243,141.20612776701762,37.2626832852761,121.9833341002464,24.28439745622686,563.3032204667725,717.2463014423847,0.785369292715721,0.11344044755159274,116.25532841859199,False,False,True,recovery,recovery,recovery,recovery -> recovery
2025-03-31,3,11.56716030883789,397.85762321750326,141.38092700205377,182.0,0.5275243049791047,85.13333331545194,208.9484869049348,397.85762321750326,823.524289794763,71.79913960303445,0.3337142222543434,47.16644276929103,607.8464444026351,142.55729226456748,49.96268328279257,199.22940227786717,31.912707642103697,723.9095886558293,661.0492237769895,1.0950918065067516,0.2139793945054327,124.19381835162983,False,False,False,loading,loading,recovery,recovery -> loading
2025-04-07,5,16.139160430908202,628.6747392495473,144.27561867281742,187.0,0.5480540331405489,132.76641138394675,341.57699077389793,861.3305234670639,1525.1625803867976,94.76036147171276,0.3393188765371976,48.46899058554217,868.8233277787765,141.42394547636843,73.53345279544591,701.6382905920345,85.19946518722543,1174.34343509078,754.0073069625431,1.5574695685928122,0.21118458098448617,145.55977695627405,False,True,False,loading,loading,loading,loading -> loading
2025-04-14,6,20.66544055175781,776.4015329003335,140.9779764885009,192.0,0.524666499918446,148.27260838747026,407.1825845283469,903.2594219505788,1644.6224638879298,81.2428287885178,0.3286743208082539,46.11939121677536,1154.4010553965966,141.19598634038812,100.68077155997356,119.45988350113225,7.832599949497587,1584.8925221373634,933.5284703142114,1.6977441744266384,0.19097413143117015,127.0957663680231,False,True,False,loading,loading,loading,loading -> loading
2025-04-21,4,15.430500411987303,494.791249370575,137.80499341080724,194.0,0.5021630738355124,62.35002913673719,247.4859030360452,620.5789687037468,932.3291143874328,60.61046960369527,0.3332367001483828,45.3980930153423,1231.4096121142309,141.10987889354482,107.13059555590152,-712.293349500497,-43.31044754287359,1288.4757891376812,1008.7074815650782,1.2773532591812677,0.12601279674216712,113.0572679577641,False,False,False,mixed,mixed,loading,loading -> mixed
2025-04-28,9,19.362420516967774,794.0817902247111,130.84830248653623,197.0,0.4528248403300442,59.266608864068985,396.6039901865056,794.0807309905688,1090.4137753109137,54.45732449016959,0.3338936804098636,46.54973042121377,1298.1319834932683,138.47672276466545,100.66391444305576,158.0846609234809,16.955885908094494,1011.371444849173,1106.7245185474555,0.9138420879809993,0.07463539599276994,82.39053876319308,False,False,False,mixed,mixed,mixed,mixed -> mixed
2025-05-05,4,8.001000213623046,352.3815893173217,127.13055272457188,183.0,0.4264578207416445,23.78335368235906,154.54362673273002,352.3815893173217,471.2983577291171,61.847250035615104,0.4358399241259982,55.22831793912687,1034.6659278288485,134.19045627760408,73.41815001765886,-619.1154175817967,-56.77802606678056,780.8560665200151,1081.225096916159,0.7221956544915131,0.06749317899506381,80.24795369851915,False,False,True,recovery,recovery,mixed,mixed -> recovery
2025-05-12,5,15.476220413208008,542.0603943506876,141.90222101093136,191.0,0.5312214256094424,83.41664060354233,286.0905846687403,542.0603943506876,959.1435973683994,63.07879203685911,0.3396215276628072,47.85586401832263,863.2962111989657,134.42151740821168,57.204158071676886,487.8452396392823,103.51091440035862,715.220977548758,1103.8283148450985,0.6479458516600254,0.15388809341708828,106.16642802512649,False,False,False,mixed,mixed,recovery,recovery -> mixed
2025-05-19,3,9.578340255737304,354.0041063328584,145.73839785649062,191.0,0.558428353592132,60.44997854232789,198.0337060351696,473.9756847997506,776.22557751139,78.28100269954939,0.2980778465313747,43.23516787312073,824.2703269799551,136.40486851963252,56.72914542307456,-182.9180198570093,-19.070973351527464,867.6845874398946,979.0054810325305,0.8862918586776156,0.17076067045812393,131.56213110955227,False,False,False,unloading,unloading,mixed,mixed -> unloading
2025-05-26,4,13.03020034790039,500.18196403384206,142.58572993143218,194.0,0.536069006605902,50.64166667461396,268.8447210387283,500.18196403384206,753.3902974069119,57.16245811130783,0.3492021111286812,49.69083280426095,740.0144575039546,139.3392253808565,54.572909875710806,-22.8352801044781,-2.941835565080053,764.8079374591507,830.4667866190275,0.920937417103476,0.10124648691088663,90.373946073266,False,False,True,recovery,recovery,unloading,unloading -> recovery
2025-06-02,5,12.306140090942382,448.2075162013372,134.15431690083238,194.0,0.4762717510697333,47.50000000198682,230.37282340438907,448.2075162013372,685.7075162112712,62.623042527156656,0.3297733129456666,45.285548136656566,793.6167471244931,141.09516642492164,60.50207145561774,-67.6827811956407,-8.983760665434303,719.5489068090914,789.3631869230006,0.9115561996423335,0.10597769623445932,91.79330887033778,False,False,True,recovery,recovery,recovery,recovery -> recovery
2025-06-09,9,20.127780441284177,1071.1829828818638,132.05333951368107,190.0,0.4613712022246884,77.21668544212977,495.2528822765873,1071.1829828818638,1457.2664100925128,80.1046496861163,0.5847455502103152,77.32371142018238,918.1474503055216,138.63294605060906,58.9520826652646,771.5588938812416,112.52011617786013,1071.4869631518918,850.5052927199337,1.2598239803132256,0.07208542954480977,81.62562886344296,False,False,False,loading,loading,recovery,recovery -> loading
2025-06-16,7,25.730560119628905,974.6843669493992,136.62926067683546,197.0,0.4938245438073436,106.98316305478414,485.7874180581039,974.6843669493992,1509.60018222332,61.422662083877626,0.4764377451352169,64.10852730171504,1101.491101483504,136.35566175569528,70.58537879337867,52.33377213080712,3.591228876776542,1483.4332961579162,1023.5555968023009,1.449294303887667,0.1097618538703188,92.92855616109564,False,False,False,loading,loading,loading,loading -> loading
2025-06-23,6,20.543800201416012,739.8150124529998,135.475472338638,192.0,0.485641647791759,64.28333167831103,359.7030431240962,739.8150124529998,1061.2316708445549,53.88231049620668,0.4126202075780225,55.5733521223135,1178.4514448429147,134.57809735749674,73.99579504430292,-448.3685113787651,-29.701143167485156,1285.4159265339372,1040.5702757149934,1.2352994858042685,0.08689108844272733,86.0673265328182,False,False,False,mixed,mixed,loading,loading -> mixed
2025-06-30,5,14.872700271606444,562.3847747822603,139.70932775471903,188.0,0.51566899116822,63.36649822791417,289.9260556897878,562.3847747822603,879.2172659218311,62.10849051195795,0.4501078128081344,62.60885236883278,1226.8288822705547,135.96685007096838,77.96241960078477,-182.01440492272377,-17.151241328660326,970.2244683831927,1057.7355571167336,0.9172656264179242,0.11267463322144153,93.80238996643246,False,False,False,unloading,unloading,mixed,mixed -> unloading
2025-07-07,6,19.2,717.8924657265345,137.785355366392,188.0,0.5020237969247661,83.68118686079978,365.30869890726274,717.8924657265345,1136.2984000305337,61.49570865170304,0.3951170892974102,54.391145933896205,1146.5868797550595,137.39985403414613,79.57854495545227,257.0811341087026,29.23977315654298,1007.7578329761822,1121.5535742206705,0.8985374003880634,0.11656507186784755,94.9695215603543,False,False,False,mixed,mixed,unloading,unloading -> mixed
2025-07-14,3,6.6000000000000005,348.9016900002957,129.64243217730825,193.0,0.4442725686333919,24.899999990065893,157.59307432030332,348.9016900002957,473.4016899506252,83.44527472358901,0.548884675636684,70.79180452553197,887.537256686886,135.6531469092643,59.05775418927272,-662.8967100799084,-58.33825956826971,804.8500449905792,1086.1692698438962,0.740998725830507,0.0713668081975894,81.41004245927682,False,False,True,recovery,recovery,mixed,mixed -> recovery
2025-07-21,3,6.497580093383788,284.24999561508497,126.45291232810554,176.0,0.4216518604830181,47.69999999602636,118.8500511808287,284.24999561508497,522.7499955952168,81.37598151716689,0.5791701702119165,72.44603960979514,752.9168378745517,133.3975069066312,54.91192126870155,49.34830564459156,10.424192961740065,498.07584277292074,930.416534094347,0.5353256574032619,0.1678100289599264,110.34300868797793,False,False,True,recovery,recovery,recovery,recovery -> recovery
2025-08-04,1,3.55,148.8873666505019,126.12947976878613,175.0,0.4193580125445824,13.983333333333333,62.43711017155102,148.8873666505019,218.80403331716852,61.63493896258269,0.468781938829377,59.127222069552246,587.813529723386,130.00254491014798,42.56613004505633,-303.9459622780482,-58.143656592855145,370.7770144561924,715.2838426099884,0.5183634696727801,0.09391887067327748,88.17566120198323,False,False,True,recovery,recovery,recovery,recovery -> recovery
2025-08-11,3,8.092440216064453,377.671356968085,139.89629384347666,190.0,0.5169949917977067,47.89999999403953,194.0064775617741,377.671356968085,617.1713569382827,76.07718974347488,0.4857437343009471,67.09919702357465,458.0317689503233,130.53027952941915,33.620833328366274,398.3673236211141,182.06580453828232,417.9876951277254,641.2737902922763,0.6518084809566553,0.12682984587069787,98.04895376120936,False,False,True,recovery,recovery,recovery,recovery -> recovery
