week_start,sessions,total_distance_m,avg_distance_m,avg_pace_sec_per_100m,median_pace_sec_per_100m,avg_hr,avg_distance_per_stroke_m,avg_swolf
2025-09-08,6,16664.640380859375,2777.4400634765625,107.92271431540546,102.62501525366042,,2.842167454790028,
2025-09-15,6,17625.060470581055,2937.510078430176,95.66593748824342,95.57665648012008,,2.963231235408136,
2025-09-22,4,12664.440338134766,3166.1100845336914,101.77447685301857,102.7342369375761,,3.2122053923042064,
2025-09-29,5,13030.20034790039,2606.040069580078,95.92496045995998,93.48713300863572,,2.826366844292523,
2025-10-06,3,10469.880279541016,3489.9600931803384,99.0282599725427,101.69832780866915,,3.202312606134168,
2025-10-13,6,22471.380599975586,3745.230099995931,104.63826454214292,102.58514773410562,,3.439240324191355,
2025-10-20,4,14196.06037902832,3549.01509475708,94.6578412977673,95.73813715615378,,3.017351719892849,
2025-10-27,4,13898.88037109375,3474.7200927734375,94.10505745021435,94.7043457641041,,3.116351180242379,
2025-11-03,3,10904.220291137695,3634.7400970458984,111.56187426918234,104.57461479403565,,2.874339368289684,
2025-11-10,6,13716.000366210938,2286.0000610351562,103.08656290202264,99.02165376687569,,3.1788807077921106,
2025-11-17,4,14721.840393066406,3680.4600982666016,89.07428309290927,88.93159156569925,,3.1816462403004797,
2025-11-24,3,11109.96029663086,3703.320098876953,100.35897278959028,97.34393180333147,,3.1602868246984883,
2025-12-01,6,20939.76055908203,3489.9600931803384,102.1555169161196,101.37789390947277,,3.195816187728159,
2025-12-08,6,20802.600555419922,3467.100092569987,113.6669424893717,107.82368140138846,,3.2472598118049323,
2025-12-15,3,8709.660232543945,2903.2200775146484,113.46625572239206,120.0329464411428,,2.716360602381187,
2025-12-22,3,10929.600219726562,3643.2000732421875,102.31675105869579,101.26422000814368,,3.318703181232166,
2025-12-29,5,18173.700485229492,3634.7400970458984,100.78363348412319,92.60471518570671,,2.813381369236377,
2026-01-05,6,16939.260452270508,2823.210075378418,111.38903556969888,102.640724519734,,2.8342686422174777,
2026-01-12,3,4526.280120849609,1508.7600402832031,128.87710157869617,95.63925734721353,,2.7846036779960506,
2026-01-19,3,9761.220260620117,3253.7400868733725,97.07415723675668,97.49420483036029,,3.8682130756633657,
2026-01-26,4,13418.820358276367,3354.705089569092,101.47944478155488,93.64925892382894,,3.155956070737929,
2026-02-02,4,10835.64028930664,2708.91007232666,104.61898451897616,103.28963737270317,,3.0824353625209553,
2026-02-09,6,19613.88052368164,3268.9800872802734,98.32027073044537,96.97268853846522,,3.184315912240804,
2026-02-16,6,19065.240509033203,3177.540084838867,96.67582061729327,93.6595177291449,,2.889269599697281,
2026-02-23,2,5783.580154418945,2891.7900772094727,102.59718810710464,102.59718810710464,,2.7093514624720827,
2026-03-02,6,20482.560546875,3413.7600911458335,96.52386401636011,92.10191467507312,,3.239764853364109,
2026-03-09,5,17452.660263061523,3490.5320526123046,115.58692469989273,101.92849040544844,,3.2476940929880094,
